ID,Prediccion,Realidad
1,97.3,53.0
2,6.4,3.0
3,15.8,57.0
4,82.8,50.0
5,8.2,1.0
6,5.0,3.0
7,73.4,69.0
8,7.5,1.0
9,39.7,5.0
10,41.7,38.0
11,175.7,180.0
12,14.0,12.0
13,4.5,6.0
14,6.8,0.0
15,6.0,3.0
16,230.3,236.0
17,57.8,50.0
18,85.3,83.0
19,13.7,14.0
20,13.9,29.0
21,52.9,42.0
22,157.9,239.0
23,25.0,11.0
24,45.1,81.0
25,52.2,51.0
26,8.4,2.0
27,9.0,7.0
28,7.0,2.0
29,60.0,30.0
30,5.5,81.0
31,7.4,0.0
32,8.3,4.0
33,8.8,0.0
34,99.1,213.0
35,5.9,20.0
36,6.0,30.0
37,42.9,11.0
38,14.9,10.0
39,38.4,14.0
40,7.3,12.0
41,8.3,4.0
42,8.3,17.0
43,10.1,16.0
44,3.9,3.0
45,63.8,36.0
46,7.0,7.0
47,20.9,34.0
48,249.0,250.0
49,3.9,2.0
50,6.3,19.0
51,16.1,20.0
52,96.5,160.0
53,13.0,4.0
54,12.6,1.0
55,15.5,19.0
56,7.7,10.0
57,5.8,1.0
58,7.0,21.0
59,5.8,2.0
60,13.3,14.0
61,15.2,10.0
62,6.8,14.0
63,21.2,12.0
64,3.8,7.0
65,100.9,189.0
66,57.5,58.0
67,8.2,8.0
68,52.9,143.0
69,6.5,5.0
70,13.8,17.0
71,11.2,26.0
72,4.7,8.0
73,3.8,9.0
74,8.3,3.0
75,88.9,394.0
76,39.0,22.0
77,59.3,25.0
78,24.5,34.0
79,8.3,12.0
80,11.8,8.0
81,26.1,25.0
82,53.3,46.0
83,11.6,18.0
84,72.9,28.0
85,6.9,10.0
86,21.8,11.0
87,58.8,25.0
88,59.6,40.0
89,5.4,2.0
90,8.4,1.0
91,8.4,5.0
92,15.5,17.0
93,8.3,1.0
94,52.2,22.0
95,51.4,19.0
96,146.4,115.0
97,12.1,11.0
98,7.6,14.0
99,12.1,0.0
100,17.7,34.0
101,3.9,1.0
102,118.7,58.0
103,7.5,42.0
104,7.0,4.0
105,17.0,14.0
106,15.2,6.0
107,91.1,46.0
108,10.9,15.0
109,27.7,19.0
110,8.3,6.0
111,135.2,395.0
112,21.1,26.0
113,54.2,170.0
114,54.0,17.0
115,7.4,7.0
116,8.3,9.0
117,3.9,2.0
118,4.0,3.0
119,8.1,1.0
120,11.7,2.0
121,10.5,11.0
122,11.5,62.0
123,228.7,255.0
124,55.4,38.0
125,27.7,13.0
126,4.0,2.0
127,9.0,38.0
128,7.3,0.0
129,6.5,14.0
130,8.1,13.0
131,147.3,406.0
132,108.5,136.0
133,4.6,3.0
134,12.8,14.0
135,9.5,0.0
136,34.3,15.0
137,14.3,1.0
138,8.3,3.0
139,28.9,52.0
140,114.3,455.0
141,22.1,17.0
142,6.8,0.0
143,37.6,18.0
144,19.4,18.0
145,7.8,0.0
146,37.6,21.0
147,117.8,103.0
148,12.8,14.0
149,20.8,2.0
150,6.8,0.0
151,78.8,63.0
152,12.5,2.0
153,12.0,18.0
154,55.6,32.0
155,83.7,71.0
156,23.5,11.0
157,3.9,10.0
158,66.6,97.0
159,38.4,26.0
160,3.8,4.0
161,15.9,30.0
162,16.6,15.0
163,14.4,30.0
164,8.1,5.0
165,22.2,18.0
166,23.5,2.0
167,5.1,2.0
168,11.4,0.0
169,40.8,7.0
170,25.5,157.0
171,5.2,11.0
172,88.7,87.0
173,8.0,11.0
174,202.5,437.0
175,117.2,66.0
176,11.8,3.0
177,12.5,3.0
178,14.4,12.0
179,18.0,19.0
180,12.1,2.0
181,3.8,1.0
182,12.7,14.0
183,6.2,3.0
184,8.0,0.0
185,14.0,9.0
186,16.0,6.0
187,15.3,61.0
188,11.8,0.0
189,20.3,28.0
190,10.8,1.0
191,6.5,11.0
192,7.3,0.0
193,17.5,17.0
194,7.3,5.0
195,5.5,2.0
196,8.4,0.0
197,52.5,17.0
198,13.4,12.0
199,63.5,14.0
200,6.9,10.0
201,17.0,5.0
202,8.2,12.0
203,14.5,4.0
204,117.2,182.0
205,16.4,3.0
206,15.9,18.0
207,6.8,2.0
208,6.9,6.0
209,39.1,36.0
210,27.6,15.0
211,8.3,2.0
212,147.2,150.0
213,42.9,46.0
214,8.4,5.0
215,12.6,2.0
216,6.3,1.0
217,123.8,186.0
218,12.5,10.0
219,7.0,1.0
220,6.2,4.0
221,9.3,2.0
222,116.7,82.0
223,6.0,3.0
224,5.1,3.0
225,13.4,28.0
226,8.1,4.0
227,36.6,78.0
228,157.7,117.0
229,8.4,1.0
230,92.0,143.0
231,54.9,68.0
232,36.6,31.0
233,17.0,15.0
234,39.1,67.0
235,88.9,118.0
236,6.7,8.0
237,6.4,52.0
238,15.4,1.0
239,17.3,4.0
240,12.3,42.0
241,6.9,0.0
242,12.7,28.0
243,3.8,3.0
244,6.1,1.0
245,85.6,115.0
246,21.7,8.0
247,10.6,11.0
248,47.9,16.0
249,9.3,5.0
250,8.4,1.0
251,7.8,3.0
252,8.4,4.0
253,5.2,3.0
254,97.1,72.0
255,250.2,338.0
256,6.7,109.0
257,90.7,35.0
258,9.2,30.0
259,14.1,14.0
260,5.2,3.0
261,56.0,18.0
262,6.1,2.0
263,15.2,16.0
264,81.8,47.0
265,14.4,16.0
266,230.3,811.0
267,12.6,3.0
268,150.9,105.0
269,6.9,11.0
270,5.4,4.0
271,10.3,3.0
272,7.6,1.0
273,27.6,1.0
274,81.3,121.0
275,6.8,0.0
